menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code
Original Chicken Whopper Burger,Whopper Burger,Chicken,,OCWB,,,c50d08fb,a0efc38d,a9514f88
Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,OCWBS,,,d68521be,a0efc38d,a9514f88
Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,OCWBM,,,562f37ac,a0efc38d,a9514f88
Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,b9936c23,a0efc38d,a9514f88
Original Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,aa2c2f4c,a0efc38d,a9514f88
Original Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,1588d63d,a0efc38d,a9514f88
Original Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,cb3604c5,a0efc38d,a9514f88
4-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,084c3cac,a0efc38d,a9514f88
6-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,364184e1,a0efc38d,a9514f88
8-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,7ce7ffb8,a0efc38d,a9514f88
10-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,927de1d0,a0efc38d,a9514f88
12-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,fd09322d,a0efc38d,a9514f88
15-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,36ebf623,a0efc38d,a9514f88
20-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,9a674df5,a0efc38d,a9514f88
Original Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,1b279420,a0efc38d,a9514f88
Original Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,0a0125ac,a0efc38d,a9514f88
Original Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,c0582d42,a0efc38d,a9514f88
Original Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,dd788fa5,a0efc38d,a9514f88
Grilled Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,3eb0acf6,a0efc38d,a9514f88
Fried Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,d6e4a35f,a0efc38d,a9514f88
Baked Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,22de31ac,a0efc38d,a9514f88
Fresh Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,7303cbc3,a0efc38d,a9514f88
Original Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,b4170e0b,a0efc38d,a9514f88
Original Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,8173df4d,a0efc38d,a9514f88
Original Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,cb62c566,a0efc38d,a9514f88
Original Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,e891f356,a0efc38d,a9514f88
Original Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,65e2bc26,a0efc38d,a9514f88
Original Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,d4e70636,a0efc38d,a9514f88
4-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,b7fa2c9a,a0efc38d,a9514f88
6-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,b3cad563,a0efc38d,a9514f88
4-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,68caeb68,a0efc38d,a9514f88
6-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,1294f6ce,a0efc38d,a9514f88
4-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,eeaf35b0,a0efc38d,a9514f88
6-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,769f8323,a0efc38d,a9514f88
Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,3708e6c2,a0efc38d,a9514f88
Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,36cb256e,a0efc38d,a9514f88
Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,f22253e9,a0efc38d,a9514f88
Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,d700c5bf,a0efc38d,a9514f88
Crispy Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,a7a408bf,a0efc38d,a9514f88
Crispy Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,b5ab0fb3,a0efc38d,a9514f88
Crispy Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,4caeebce,a0efc38d,a9514f88
