menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code
Original Chicken Whopper Burger,Whopper Burger,Chicken,,OCWB,,,OCWB,WB,C
Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,OCWBS,,,OCWBS,WB,C
Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,OCWBM,,,OCWBM,WB,C
Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,OCWBL,WB,C
Original Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,OCWBEL,WB,C
Original Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,OCWBKS,WB,C
Original Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,OCWBFS,WB,C
4-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,4OCWB,WB,C
6-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,6OCWB,WB,C
8-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,8OCWB,WB,C
10-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1OCWB,WB,C
12-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1OCWB,WB,C
15-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1OCWB,WB,C
20-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,2OCWB,WB,C
Original Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,OCWBC,WB,C
Original Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,OCWBVM,WB,C
Original Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,OCWBDM,WB,C
Original Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,OCWBFM,WB,C
Grilled Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GOCWB,WB,C
Fried Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FOCWB,WB,C
Baked Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,BOCWB,WB,C
Fresh Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FOCWB,WB,C
Original Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,OCWBEC,WB,C
Original Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,OCWBNM,WB,C
Original Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,OCWBEC,WB,C
Original Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,OCWBS,WB,C
Original Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,OCWBM,WB,C
Original Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,OCWBB,WB,C
4-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,4OCWBS,WB,C
6-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,6OCWBS,WB,C
4-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,4OCWBM,WB,C
6-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,6OCWBM,WB,C
4-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,4OCWBL,WB,C
6-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,6OCWBL,WB,C
Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,CCWB,WB,C
Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,CCWBS,WB,C
Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,CCWBM,WB,C
Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,CCWBL,WB,C
Crispy Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,CCWBEL,WB,C
Crispy Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,CCWBKS,WB,C
Crispy Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,CCWBFS,WB,C
4-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,4CCWB,WB,C
6-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,6CCWB,WB,C
8-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,8CCWB,WB,C
10-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1CCWB,WB,C
12-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1CCWB,WB,C
15-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1CCWB,WB,C
20-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,2CCWB,WB,C
Crispy Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,CCWBC,WB,C
Crispy Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,CCWBVM,WB,C
Crispy Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,CCWBDM,WB,C
Crispy Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,CCWBFM,WB,C
Grilled Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GCCWB,WB,C
Fried Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FCCWB,WB,C
Baked Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,BCCWB,WB,C
Fresh Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FCCWB,WB,C
Crispy Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,CCWBEC,WB,C
Crispy Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,CCWBNM,WB,C
Crispy Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,CCWBEC,WB,C
Crispy Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,CCWBS,WB,C
Crispy Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,CCWBM,WB,C
Crispy Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,CCWBB,WB,C
4-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,4CCWBS,WB,C
6-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,6CCWBS,WB,C
4-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,4CCWBM,WB,C
6-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,6CCWBM,WB,C
4-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,4CCWBL,WB,C
6-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,6CCWBL,WB,C
Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GCWB,WB,C
Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,GCWBS,WB,C
Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,GCWBM,WB,C
Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,GCWBL,WB,C
Grilled Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,GCWBEL,WB,C
Grilled Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,GCWBKS,WB,C
Grilled Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,GCWBFS,WB,C
4-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,4GCWB,WB,C
6-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,6GCWB,WB,C
8-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,8GCWB,WB,C
10-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1GCWB,WB,C
12-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1GCWB,WB,C
15-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1GCWB,WB,C
20-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,2GCWB,WB,C
Grilled Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,GCWBC,WB,C
Grilled Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,GCWBVM,WB,C
Grilled Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,GCWBDM,WB,C
Grilled Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,GCWBFM,WB,C
Grilled Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GGCWB,WB,C
Fried Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FGCWB,WB,C
Baked Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,BGCWB,WB,C
Fresh Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FGCWB,WB,C
Grilled Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,GCWBEC,WB,C
Grilled Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,GCWBNM,WB,C
Grilled Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,GCWBEC,WB,C
Grilled Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,GCWBS,WB,C
Grilled Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,GCWBM,WB,C
Grilled Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,GCWBB,WB,C
4-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,4GCWBS,WB,C
6-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,6GCWBS,WB,C
4-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,4GCWBM,WB,C
6-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,6GCWBM,WB,C
4-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,4GCWBL,WB,C
6-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,6GCWBL,WB,C
Crispy Royal Chicken,Royal Chicken,Chicken,,,,,CRC,RC,C
Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,CRCS,RC,C
Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,CRCM,RC,C
Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,CRCL,RC,C
Crispy Royal Chicken Extra Large,Royal Chicken,Chicken,,,,,CRCEL,RC,C
Crispy Royal Chicken King Size,Royal Chicken,Chicken,,,,,CRCKS,RC,C
Crispy Royal Chicken Family Size,Royal Chicken,Chicken,,,,,CRCFS,RC,C
4-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,4CRC,RC,C
6-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,6CRC,RC,C
8-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,8CRC,RC,C
10-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,1CRC,RC,C
12-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,1CRC,RC,C
15-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,1CRC,RC,C
20-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,2CRC,RC,C
Crispy Royal Chicken Combo,Royal Chicken,Chicken,,,,,CRCC,RC,C
Crispy Royal Chicken Value Meal,Royal Chicken,Chicken,,,,,CRCVM,RC,C
Crispy Royal Chicken Deluxe Meal,Royal Chicken,Chicken,,,,,CRCDM,RC,C
Crispy Royal Chicken Family Meal,Royal Chicken,Chicken,,,,,CRCFM,RC,C
Grilled Crispy Royal Chicken,Royal Chicken,Chicken,,,,,GCRC,RC,C
Fried Crispy Royal Chicken,Royal Chicken,Chicken,,,,,FCRC,RC,C
Baked Crispy Royal Chicken,Royal Chicken,Chicken,,,,,BCRC,RC,C
Fresh Crispy Royal Chicken,Royal Chicken,Chicken,,,,,FCRC,RC,C
Crispy Royal Chicken Extra Crispy,Royal Chicken,Chicken,,,,,CRCEC,RC,C
Crispy Royal Chicken No Mayo,Royal Chicken,Chicken,,,,,CRCNM,RC,C
Crispy Royal Chicken Extra Cheese,Royal Chicken,Chicken,,,,,CRCEC,RC,C
Crispy Royal Chicken Spicy,Royal Chicken,Chicken,,,,,CRCS,RC,C
Crispy Royal Chicken Mild,Royal Chicken,Chicken,,,,,CRCM,RC,C
Crispy Royal Chicken BBQ,Royal Chicken,Chicken,,,,,CRCB,RC,C
4-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,4CRCS,RC,C
6-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,6CRCS,RC,C
4-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,4CRCM,RC,C
6-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,6CRCM,RC,C
4-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,4CRCL,RC,C
6-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,6CRCL,RC,C
Grilled Royal Chicken,Royal Chicken,Chicken,,,,,GRC,RC,C
Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,GRCS,RC,C
Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,GRCM,RC,C
Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,GRCL,RC,C
Grilled Royal Chicken Extra Large,Royal Chicken,Chicken,,,,,GRCEL,RC,C
Grilled Royal Chicken King Size,Royal Chicken,Chicken,,,,,GRCKS,RC,C
Grilled Royal Chicken Family Size,Royal Chicken,Chicken,,,,,GRCFS,RC,C
4-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,4GRC,RC,C
6-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,6GRC,RC,C
8-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,8GRC,RC,C
10-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,1GRC,RC,C
12-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,1GRC,RC,C
15-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,1GRC,RC,C
20-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,2GRC,RC,C
Grilled Royal Chicken Combo,Royal Chicken,Chicken,,,,,GRCC,RC,C
Grilled Royal Chicken Value Meal,Royal Chicken,Chicken,,,,,GRCVM,RC,C
Grilled Royal Chicken Deluxe Meal,Royal Chicken,Chicken,,,,,GRCDM,RC,C
Grilled Royal Chicken Family Meal,Royal Chicken,Chicken,,,,,GRCFM,RC,C
Grilled Grilled Royal Chicken,Royal Chicken,Chicken,,,,,GGRC,RC,C
Fried Grilled Royal Chicken,Royal Chicken,Chicken,,,,,FGRC,RC,C
Baked Grilled Royal Chicken,Royal Chicken,Chicken,,,,,BGRC,RC,C
Fresh Grilled Royal Chicken,Royal Chicken,Chicken,,,,,FGRC,RC,C
Grilled Royal Chicken Extra Crispy,Royal Chicken,Chicken,,,,,GRCEC,RC,C
Grilled Royal Chicken No Mayo,Royal Chicken,Chicken,,,,,GRCNM,RC,C
