menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code,final_unique_code
Original Chicken Whopper Burger,Whopper Burger,Chicken,,OCWB,,,OCWB,WB,CH,OCWBWBCH
Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,OCWBS,,,OCWBS,WB,CH,OCWBSWBCH
Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,OCWBM,,,OCWBM,WB,CH,OCWBMWBCH
Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,OCWBL,WB,CH,OCWBLWBCH
Original Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,OCWBEL,WB,CH,OCWBELWBCH
Original Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,OCWBKS,WB,CH,OCWBKSWBCH
Original Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,OCWBFS,WB,CH,OCWBFSWBCH
4-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,4OCWB,WB,CH,4OCWBWBCH
6-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,6OCWB,WB,CH,6OCWBWBCH
8-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,8OCWB,WB,CH,8OCWBWBCH
10-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1OCWB,WB,CH,1OCWBWBCH
12-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1OCWB,WB,CH,1OCWBWBCH
15-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1OCWB,WB,CH,1OCWBWBCH
20-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,2OCWB,WB,CH,2OCWBWBCH
Original Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,OCWBC,WB,CH,OCWBCWBCH
Original Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,OCWBVM,WB,CH,OCWBVMWBCH
Original Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,OCWBDM,WB,CH,OCWBDMWBCH
Original Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,OCWBFM,WB,CH,OCWBFMWBCH
Grilled Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GOCWB,WB,CH,GOCWBWBCH
Fried Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FOCWB,WB,CH,FOCWBWBCH
Baked Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,BOCWB,WB,CH,BOCWBWBCH
Fresh Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FOCWB,WB,CH,FOCWBWBCH
Original Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,OCWBEC,WB,CH,OCWBECWBCH
Original Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,OCWBNM,WB,CH,OCWBNMWBCH
Original Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,OCWBEC,WB,CH,OCWBECWBCH
Original Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,OCWBS,WB,CH,OCWBSWBCH
Original Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,OCWBM,WB,CH,OCWBMWBCH
Original Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,OCWBB,WB,CH,OCWBBWBCH
4-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,4OCWBS,WB,CH,4OCWBSWBCH
6-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,6OCWBS,WB,CH,6OCWBSWBCH
4-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,4OCWBM,WB,CH,4OCWBMWBCH
6-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,6OCWBM,WB,CH,6OCWBMWBCH
4-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,4OCWBL,WB,CH,4OCWBLWBCH
6-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,6OCWBL,WB,CH,6OCWBLWBCH
Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,CCWB,WB,CH,CCWBWBCH
Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,CCWBS,WB,CH,CCWBSWBCH
Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,CCWBM,WB,CH,CCWBMWBCH
Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,CCWBL,WB,CH,CCWBLWBCH
Crispy Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,CCWBEL,WB,CH,CCWBELWBCH
Crispy Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,CCWBKS,WB,CH,CCWBKSWBCH
Crispy Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,CCWBFS,WB,CH,CCWBFSWBCH
4-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,4CCWB,WB,CH,4CCWBWBCH
6-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,6CCWB,WB,CH,6CCWBWBCH
8-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,8CCWB,WB,CH,8CCWBWBCH
10-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1CCWB,WB,CH,1CCWBWBCH
12-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1CCWB,WB,CH,1CCWBWBCH
15-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1CCWB,WB,CH,1CCWBWBCH
20-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,2CCWB,WB,CH,2CCWBWBCH
Crispy Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,CCWBC,WB,CH,CCWBCWBCH
Crispy Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,CCWBVM,WB,CH,CCWBVMWBCH
Crispy Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,CCWBDM,WB,CH,CCWBDMWBCH
Crispy Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,CCWBFM,WB,CH,CCWBFMWBCH
Grilled Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GCCWB,WB,CH,GCCWBWBCH
Fried Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FCCWB,WB,CH,FCCWBWBCH
Baked Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,BCCWB,WB,CH,BCCWBWBCH
Fresh Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FCCWB,WB,CH,FCCWBWBCH
Crispy Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,CCWBEC,WB,CH,CCWBECWBCH
Crispy Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,CCWBNM,WB,CH,CCWBNMWBCH
Crispy Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,CCWBEC,WB,CH,CCWBECWBCH
Crispy Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,CCWBS,WB,CH,CCWBSWBCH
Crispy Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,CCWBM,WB,CH,CCWBMWBCH
Crispy Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,CCWBB,WB,CH,CCWBBWBCH
4-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,4CCWBS,WB,CH,4CCWBSWBCH
6-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,6CCWBS,WB,CH,6CCWBSWBCH
4-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,4CCWBM,WB,CH,4CCWBMWBCH
6-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,6CCWBM,WB,CH,6CCWBMWBCH
4-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,4CCWBL,WB,CH,4CCWBLWBCH
6-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,6CCWBL,WB,CH,6CCWBLWBCH
Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GCWB,WB,CH,GCWBWBCH
Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,GCWBS,WB,CH,GCWBSWBCH
Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,GCWBM,WB,CH,GCWBMWBCH
Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,GCWBL,WB,CH,GCWBLWBCH
Grilled Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,GCWBEL,WB,CH,GCWBELWBCH
Grilled Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,GCWBKS,WB,CH,GCWBKSWBCH
Grilled Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,GCWBFS,WB,CH,GCWBFSWBCH
4-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,4GCWB,WB,CH,4GCWBWBCH
6-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,6GCWB,WB,CH,6GCWBWBCH
8-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,8GCWB,WB,CH,8GCWBWBCH
10-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1GCWB,WB,CH,1GCWBWBCH
12-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1GCWB,WB,CH,1GCWBWBCH
15-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,1GCWB,WB,CH,1GCWBWBCH
20-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,2GCWB,WB,CH,2GCWBWBCH
Grilled Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,GCWBC,WB,CH,GCWBCWBCH
Grilled Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,GCWBVM,WB,CH,GCWBVMWBCH
Grilled Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,GCWBDM,WB,CH,GCWBDMWBCH
Grilled Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,GCWBFM,WB,CH,GCWBFMWBCH
Grilled Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,GGCWB,WB,CH,GGCWBWBCH
Fried Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FGCWB,WB,CH,FGCWBWBCH
Baked Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,BGCWB,WB,CH,BGCWBWBCH
Fresh Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,FGCWB,WB,CH,FGCWBWBCH
Grilled Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,GCWBEC,WB,CH,GCWBECWBCH
Grilled Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,GCWBNM,WB,CH,GCWBNMWBCH
Grilled Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,GCWBEC,WB,CH,GCWBECWBCH
Grilled Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,GCWBS,WB,CH,GCWBSWBCH
Grilled Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,GCWBM,WB,CH,GCWBMWBCH
Grilled Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,GCWBB,WB,CH,GCWBBWBCH
4-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,4GCWBS,WB,CH,4GCWBSWBCH
6-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,6GCWBS,WB,CH,6GCWBSWBCH
4-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,4GCWBM,WB,CH,4GCWBMWBCH
6-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,6GCWBM,WB,CH,6GCWBMWBCH
4-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,4GCWBL,WB,CH,4GCWBLWBCH
6-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,6GCWBL,WB,CH,6GCWBLWBCH
Crispy Royal Chicken,Royal Chicken,Chicken,,,,,CRC,RC,CH,CRCRCCH
Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,CRCS,RC,CH,CRCSRCCH
Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,CRCM,RC,CH,CRCMRCCH
Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,CRCL,RC,CH,CRCLRCCH
Crispy Royal Chicken Extra Large,Royal Chicken,Chicken,,,,,CRCEL,RC,CH,CRCELRCCH
Crispy Royal Chicken King Size,Royal Chicken,Chicken,,,,,CRCKS,RC,CH,CRCKSRCCH
Crispy Royal Chicken Family Size,Royal Chicken,Chicken,,,,,CRCFS,RC,CH,CRCFSRCCH
4-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,4CRC,RC,CH,4CRCRCCH
6-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,6CRC,RC,CH,6CRCRCCH
8-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,8CRC,RC,CH,8CRCRCCH
10-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,1CRC,RC,CH,1CRCRCCH
12-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,1CRC,RC,CH,1CRCRCCH
15-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,1CRC,RC,CH,1CRCRCCH
20-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,2CRC,RC,CH,2CRCRCCH
Crispy Royal Chicken Combo,Royal Chicken,Chicken,,,,,CRCC,RC,CH,CRCCRCCH
Crispy Royal Chicken Value Meal,Royal Chicken,Chicken,,,,,CRCVM,RC,CH,CRCVMRCCH
Crispy Royal Chicken Deluxe Meal,Royal Chicken,Chicken,,,,,CRCDM,RC,CH,CRCDMRCCH
Crispy Royal Chicken Family Meal,Royal Chicken,Chicken,,,,,CRCFM,RC,CH,CRCFMRCCH
Grilled Crispy Royal Chicken,Royal Chicken,Chicken,,,,,GCRC,RC,CH,GCRCRCCH
Fried Crispy Royal Chicken,Royal Chicken,Chicken,,,,,FCRC,RC,CH,FCRCRCCH
Baked Crispy Royal Chicken,Royal Chicken,Chicken,,,,,BCRC,RC,CH,BCRCRCCH
Fresh Crispy Royal Chicken,Royal Chicken,Chicken,,,,,FCRC,RC,CH,FCRCRCCH
Crispy Royal Chicken Extra Crispy,Royal Chicken,Chicken,,,,,CRCEC,RC,CH,CRCECRCCH
Crispy Royal Chicken No Mayo,Royal Chicken,Chicken,,,,,CRCNM,RC,CH,CRCNMRCCH
Crispy Royal Chicken Extra Cheese,Royal Chicken,Chicken,,,,,CRCEC,RC,CH,CRCECRCCH
Crispy Royal Chicken Spicy,Royal Chicken,Chicken,,,,,CRCS,RC,CH,CRCSRCCH
Crispy Royal Chicken Mild,Royal Chicken,Chicken,,,,,CRCM,RC,CH,CRCMRCCH
Crispy Royal Chicken BBQ,Royal Chicken,Chicken,,,,,CRCB,RC,CH,CRCBRCCH
4-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,4CRCS,RC,CH,4CRCSRCCH
6-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,6CRCS,RC,CH,6CRCSRCCH
4-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,4CRCM,RC,CH,4CRCMRCCH
6-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,6CRCM,RC,CH,6CRCMRCCH
4-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,4CRCL,RC,CH,4CRCLRCCH
6-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,6CRCL,RC,CH,6CRCLRCCH
Grilled Royal Chicken,Royal Chicken,Chicken,,,,,GRC,RC,CH,GRCRCCH
Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,GRCS,RC,CH,GRCSRCCH
Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,GRCM,RC,CH,GRCMRCCH
Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,GRCL,RC,CH,GRCLRCCH
Grilled Royal Chicken Extra Large,Royal Chicken,Chicken,,,,,GRCEL,RC,CH,GRCELRCCH
Grilled Royal Chicken King Size,Royal Chicken,Chicken,,,,,GRCKS,RC,CH,GRCKSRCCH
Grilled Royal Chicken Family Size,Royal Chicken,Chicken,,,,,GRCFS,RC,CH,GRCFSRCCH
4-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,4GRC,RC,CH,4GRCRCCH
6-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,6GRC,RC,CH,6GRCRCCH
8-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,8GRC,RC,CH,8GRCRCCH
10-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,1GRC,RC,CH,1GRCRCCH
12-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,1GRC,RC,CH,1GRCRCCH
15-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,1GRC,RC,CH,1GRCRCCH
20-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,2GRC,RC,CH,2GRCRCCH
Grilled Royal Chicken Combo,Royal Chicken,Chicken,,,,,GRCC,RC,CH,GRCCRCCH
Grilled Royal Chicken Value Meal,Royal Chicken,Chicken,,,,,GRCVM,RC,CH,GRCVMRCCH
Grilled Royal Chicken Deluxe Meal,Royal Chicken,Chicken,,,,,GRCDM,RC,CH,GRCDMRCCH
Grilled Royal Chicken Family Meal,Royal Chicken,Chicken,,,,,GRCFM,RC,CH,GRCFMRCCH
Grilled Grilled Royal Chicken,Royal Chicken,Chicken,,,,,GGRC,RC,CH,GGRCRCCH
Fried Grilled Royal Chicken,Royal Chicken,Chicken,,,,,FGRC,RC,CH,FGRCRCCH
Baked Grilled Royal Chicken,Royal Chicken,Chicken,,,,,BGRC,RC,CH,BGRCRCCH
Fresh Grilled Royal Chicken,Royal Chicken,Chicken,,,,,FGRC,RC,CH,FGRCRCCH
Grilled Royal Chicken Extra Crispy,Royal Chicken,Chicken,,,,,GRCEC,RC,CH,GRCECRCCH
Grilled Royal Chicken No Mayo,Royal Chicken,Chicken,,,,,GRCNM,RC,CH,GRCNMRCCH
Grilled Royal Chicken Extra Cheese,Royal Chicken,Chicken,,,,,GRCEC,RC,CH,GRCECRCCH
Grilled Royal Chicken Spicy,Royal Chicken,Chicken,,,,,GRCS,RC,CH,GRCSRCCH
Grilled Royal Chicken Mild,Royal Chicken,Chicken,,,,,GRCM,RC,CH,GRCMRCCH
Grilled Royal Chicken BBQ,Royal Chicken,Chicken,,,,,GRCB,RC,CH,GRCBRCCH
4-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,4GRCS,RC,CH,4GRCSRCCH
6-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,6GRCS,RC,CH,6GRCSRCCH
4-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,4GRCM,RC,CH,4GRCMRCCH
6-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,6GRCM,RC,CH,6GRCMRCCH
4-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,4GRCL,RC,CH,4GRCLRCCH
6-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,6GRCL,RC,CH,6GRCLRCCH
Original Chicken Royale,Chicken Royale,Chicken,,,,,OCR,CR,CH,OCRCRCH
Original Chicken Royale Small,Chicken Royale,Chicken,,,,,OCRS,CR,CH,OCRSCRCH
Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,OCRM,CR,CH,OCRMCRCH
Original Chicken Royale Large,Chicken Royale,Chicken,,,,,OCRL,CR,CH,OCRLCRCH
Original Chicken Royale Extra Large,Chicken Royale,Chicken,,,,,OCREL,CR,CH,OCRELCRCH
Original Chicken Royale King Size,Chicken Royale,Chicken,,,,,OCRKS,CR,CH,OCRKSCRCH
Original Chicken Royale Family Size,Chicken Royale,Chicken,,,,,OCRFS,CR,CH,OCRFSCRCH
4-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,4OCR,CR,CH,4OCRCRCH
6-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,6OCR,CR,CH,6OCRCRCH
