menu_item,category_item,class_item,month,year,month,year
Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger King Size,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Family Size,Whopper Burger,Chicken,1,2010,2,2010
4-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
6-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
8-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
10-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
12-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
15-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
20-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Combo,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,1,2010,2,2010
Grilled Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Fried Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Baked Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Fresh Original Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Spicy,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger Mild,Whopper Burger,Chicken,1,2010,2,2010
Original Chicken Whopper Burger BBQ,Whopper Burger,Chicken,1,2010,2,2010
4-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
6-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
4-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
6-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
4-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
6-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger King Size,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Family Size,Whopper Burger,Chicken,1,2010,2,2010
4-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
6-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
8-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
10-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
12-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
15-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
20-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Combo,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,1,2010,2,2010
