menu_item,category_item,class_item,,month ,year,month ,year
Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,
4-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
6-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
8-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
10-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
12-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
15-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
20-piece Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,
Grilled Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Fried Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Baked Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Fresh Original Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,
Original Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,
4-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
6-piece Original Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
4-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
6-piece Original Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
4-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
6-piece Original Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,
4-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
6-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
8-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
10-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
12-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
15-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
20-piece Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,
Grilled Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Fried Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Baked Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Fresh Crispy Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,
Crispy Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,
4-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
6-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
4-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
6-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
4-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
6-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
